,Type,Manufacturer,Origin,Propulsion,Role,Control,Introduced,Inventory,Notes
0,A-10C Thunderbolt II,Fairchild Republic,USA,Jet,CAS / Attack,Manned,2007 (A-10C)[1],261[2],The Air Force is seeking to divest 56 A-10s in FY2025.[3]
1,A-29C Super Tucano,Sierra Nevada Corporation[4],Brazil,Propeller,Research and development,Manned,,3[2],Delivered to Air Force Special Operations Command in 2021. Transferred to the U.S. Air Force Test Pilot School in 2024.[4][5]
2,AC-130J Ghostrider,Lockheed,USA,Propeller,CAS / Attack,Manned,2017 (AC-130J)[6],31[7],Final aircraft delivered in 2022.[7]
3,B-1B Lancer,Rockwell International,USA,Jet,Bomber,Manned,1986[8],45[2],Long-range conventional bomber. Employs variable-sweep wing design. To be replaced by the B-21 Raider around 2032.[8] 9 to be divested in FY2027.[9]
4,B-2A Spirit,Northrop Grumman,USA,Jet,Bomber,Manned,1997[8],19[2],Stealth long-range nuclear-capable heavy bomber. To be replaced by the B-21 Raider around 2032.[8] One aircraft to be divested in FY2025.[10]
5,B-21 Raider,Northrop Grumman,USA,Jet,Bomber,Optionally piloted[11],,3[2],Stealth long-range nuclear-capable heavy bomber. The first B-21 test aircraft made its maiden flight in November 2023.[12] To replace the B-2 Spirit and B-1 Lancer around 2032.[11]
6,B-52H Stratofortress,Boeing,USA,Jet,Bomber,Manned,1961 (B-52H)[11],76[13],Currently undergoing re-engining. Expected to serve into the 2050s.[11]
7,C-5M Super Galaxy,Lockheed,USA,Jet,Strategic airlifter,Manned,2014 (C-5M)[14],52[2],
8,C-12C/D/F/J Huron,Beechcraft,USA,Propeller,Transport,Manned,c. 1974[14],29[2],
9,C-130H Hercules,Lockheed Martin,USA,Propeller,Tactical airlifter,Manned,c. 1974[15],126[2],The C-130J is replacing the C-130H on a one-for-one basis. The Air Force has Congressionally mandated floor of 271 C-130 aircraft. 6 to be divested in FY2025.[16]
10,C-130J Super Hercules/J-30 Super Hercules,Lockheed Martin,USA,Propeller,Tactical airlifter,Manned,2006[15],151[2],
11,C-146A Wolfhound[17],Fairchild-Dornier,Germany,Propeller,Transport,Manned,c. 2011[6],20[18],Delivered 2011–2017.[6] Flown with the 524th Special Operations Squadron[19]
12,C-147A,De Havilland Canada,Canada,Propeller,Transport,Manned[citation needed],,,For the U.S. Army Parachute Team[20]
13,C-17A Globemaster III,McDonnell Douglas/Boeing,USA,Jet,Strategic airlifter,Manned,1995[21],222[2],These were produced by McDonnell-Douglas prior to the merger with Boeing.[citation needed]
14,C-21A Learjet 35,Learjet,USA,Jet,VIP transport,Manned,1984[21],19[2],
15,C-32A/B Air Force Two,Boeing,USA,Jet,VIP transport,Manned,1998[22],4/2[2],
16,C-37A/B Gulfstream V,Gulfstream,USA,Jet,VIP transport,Manned,1998[22],9/7[2],VIP transport. 16 planned.[23]
17,C-40B/C,Boeing,USA,Jet,VIP transport,Manned,2003[22],4/7[2],
18,CN-235,CASA,Spain,Propeller,Reconnaissance,Manned,1988,5[18],Flown with the 427th Special Operations Squadron
19,CV-22B Osprey,"Bell, Boeing",USA,Tiltrotor,CSAR / transport,Manned,2006[24],52[2],2 on order.[25] Two aging CV-22Bs will be divested in FY2025 and be replaced with new aircraft.[26]
20,E-3B/G Sentry (AWACS),Boeing,USA,Jet,AWACS,Manned,1977; 2014 (Block 40/45)[27],15[2],To be replaced by the E-7 Wedgetail[28]
21,E-4B (NAOC),Boeing,USA,Jet,Command and control,Manned,1978 (E-4B)[29],4[2],Assigned to the 595th Command and Control Group. To be replaced by the Survivable Airborne Operations Center.[30]
22,E-9A Widget,De Havilland Canada,Canada,Propeller,Surveillance,Manned,1988[29],2[2],"Military surveillance version of the DHC-8-100, used for missile range control.[citation needed]"
23,E-11A (BACN)[31],Northrop Grumman,USA / Canada,Jet,Command and control / BACN,Manned,c. 2011[32],5[2],2 aircraft to be divested in FY2025.[33] Nine planned.[34]
24,EA-37B Compass Call,Gulfstream,USA,Jet,Radar jamming / PSYOP,Manned,2026[34],1[35],2 ordered[25] Replacement for EC-130H Compass Call.[35] 10 planned.[34]
25,EC-130H Compass Call,Lockheed Martin,USA,Propeller,Radar jamming / PSYOP,Manned,"1983; Block 35, 2011[36]",5[35],To be replaced by EA-37B Compass Call in FY2025.[37][35]
26,EC-130J & Super-J,Lockheed Martin,USA,Propeller,Radar jamming / PSYOP,Manned,2004[24],5[2],All Commando Solos retired. Super-Js to be replaced by MC-130s.[24]
27,F-117 Nighthawk,Lockheed,USA,Jet,Aggressor aircraft/research and development,Manned,1983[4],4[18],"Although officially retired in 2008, the aircraft has been involved in various exercises beginning around 2020.[4] The Air Force possesses 45 F-117s, some in flyable condition, As of 2023. The Air Force plans to operate the type through 2034.[38]"
28,F-15C/D Eagle,McDonnell Douglas,USA,Jet,Air superiority,Manned,1979 (F-15C/D)[39],149[40],12 D variants[2] are used for training. The Air Force is seeking to divest 65 F-15s in FY2025.[41]
29,F-15E Strike Eagle,McDonnell Douglas/Boeing,USA,Jet,"Multirole, primarily strike",Manned,1989[39],218[42],The Air Force is seeking to divest 26 F-15Es with -220 engines in FY2025.[41]
30,F-15EX Eagle II,McDonnell Douglas/Boeing,USA,Jet,"Multirole, primarily strike",Manned,2024 (planned)[43],8[44],F-15C/D Eagle replacement.[45] 104 planned.[46]
